family_id,left_index,left_split,left_asset,right_index,right_split,right_asset,frames,active_both,mean_joint_distance_cm,max_joint_distance_cm
aim_offset_and_static_pose_shared_root,4,validation,M_Neutral_AO_Crouch_X+45_Y-90,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,46.269958,64.888885
aim_offset_and_static_pose_shared_root,5,train,M_Neutral_AO_Crouch_X+45_Y0,8,test,M_Neutral_AO_Crouch_X+90_Y0,11,True,23.548164,37.298141
aim_offset_and_static_pose_shared_root,5,train,M_Neutral_AO_Crouch_X+45_Y0,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,20.390524,35.800591
aim_offset_and_static_pose_shared_root,5,train,M_Neutral_AO_Crouch_X+45_Y0,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,19.837664,33.684341
aim_offset_and_static_pose_shared_root,5,train,M_Neutral_AO_Crouch_X+45_Y0,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,10.184136,18.040819
aim_offset_and_static_pose_shared_root,5,train,M_Neutral_AO_Crouch_X+45_Y0,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,45.343922,58.302475
aim_offset_and_static_pose_shared_root,5,train,M_Neutral_AO_Crouch_X+45_Y0,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,45.495136,58.488625
aim_offset_and_static_pose_shared_root,6,train,M_Neutral_AO_Crouch_X+90_Y+90,8,test,M_Neutral_AO_Crouch_X+90_Y0,11,True,8.462329,14.539255
aim_offset_and_static_pose_shared_root,6,train,M_Neutral_AO_Crouch_X+90_Y+90,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,37.471622,59.380585
aim_offset_and_static_pose_shared_root,6,train,M_Neutral_AO_Crouch_X+90_Y+90,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,36.552727,56.745762
aim_offset_and_static_pose_shared_root,6,train,M_Neutral_AO_Crouch_X+90_Y+90,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,13.736125,31.536011
aim_offset_and_static_pose_shared_root,6,train,M_Neutral_AO_Crouch_X+90_Y+90,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,50.536114,71.119057
aim_offset_and_static_pose_shared_root,6,train,M_Neutral_AO_Crouch_X+90_Y+90,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,49.521042,69.001595
aim_offset_and_static_pose_shared_root,7,train,M_Neutral_AO_Crouch_X+90_Y-90,8,test,M_Neutral_AO_Crouch_X+90_Y0,11,True,4.647376,9.095235
aim_offset_and_static_pose_shared_root,7,train,M_Neutral_AO_Crouch_X+90_Y-90,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,41.591133,67.762466
aim_offset_and_static_pose_shared_root,7,train,M_Neutral_AO_Crouch_X+90_Y-90,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,40.906319,64.05806
aim_offset_and_static_pose_shared_root,7,train,M_Neutral_AO_Crouch_X+90_Y-90,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,14.695089,27.838989
aim_offset_and_static_pose_shared_root,7,train,M_Neutral_AO_Crouch_X+90_Y-90,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,48.571899,75.306091
aim_offset_and_static_pose_shared_root,7,train,M_Neutral_AO_Crouch_X+90_Y-90,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,47.422306,73.186737
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,9,train,M_Neutral_AO_Crouch_X-135_Y+90,11,True,35.297092,59.723682
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,40.393433,69.467323
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,12,train,M_Neutral_AO_Crouch_X-45_Y+90,11,True,21.712322,34.05901
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,13,train,M_Neutral_AO_Crouch_X-45_Y-90,11,True,24.936434,41.463982
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,14,train,M_Neutral_AO_Crouch_X-45_Y0,11,True,22.710884,35.769913
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,15,train,M_Neutral_AO_Crouch_X-90_Y+90,11,True,28.627361,49.0457
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,16,train,M_Neutral_AO_Crouch_X-90_Y-90,11,True,34.112869,59.060711
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,17,train,M_Neutral_AO_Crouch_X-90_Y0,11,True,30.538717,50.035114
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,18,train,M_Neutral_AO_Crouch_X0_Y+90,11,True,13.831835,26.127048
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,19,train,M_Neutral_AO_Crouch_X0_Y-90,11,True,14.923335,23.608635
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,21,train,M_Neutral_AO_Stand_X+135_Y+90,11,True,40.332603,53.054203
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,22,train,M_Neutral_AO_Stand_X+135_Y-90,11,True,40.499084,50.862717
